sample-id	sample_control	pcr_date	pcr_conc	Basin.id	Basin.type	Basin.flowgroup	Basin.lon	Basin.lat	Sampling.date	Date.code	Biotype	ASV.richness	Shannon	C39.relabund	Firmicutes.relabund	Proteobacteria.relabund	Pupae.abund	Pupae.pres	Treatment.status	Methoprene.fail.rate	Rainfall	pH	Temp.C	Cond	DO	Sal
B_55	sample	11/6/21	9.1	55	separated	MinerEvanstonRammer	-87.952665	42.081681	6/11/21	B	1	555	4.7083255	0.002473274	0.246652904	0.387813503	9	1	pre_treatment	NA	0	6.54	20.2	0.843	0.99	0.03
B_56	sample	11/6/21	11	56	separated	MinerEvanstonRammer	-87.952544	42.081668	6/11/21	B	1	488	4.3998621	0.001012289	0.290573944	0.171571166	0	0	pre_treatment	NA	0	7.19	19	0.572	1.05	0.02
B_57	sample	11/6/21	9.5	57	separated	MinerEvanstonRammer	-87.952664	42.083969	6/11/21	B	1	634	5.1857397	0.025406478	0.275683475	0.376484836	9	1	pre_treatment	NA	0	6.85	18.7	0.895	0.7	0.04
B_58	sample	12/1/21	9.2	58	separated	DonaldBanta	-87.957397	42.082795	6/11/21	B	1	786	5.206222	0.000496143	0.484251464	0.16774431	0	0	pre_treatment	NA	0	6.3	19.1	0.52	0.08	0.28
B_59	sample	11/6/21	8.4	59	separated	MinerEvanstonRammer	-87.956346	42.084539	6/11/21	B	1	537	4.6946148	0.025291738	0.29910735	0.456808778	0	0	not_treated	NA	0	7.01	19.2	1.32	0.37	0.07
B_60	sample	11/6/21	18	60	separated	MinerEvanstonRammer	-87.954944	42.084451	6/11/21	B	1	376	2.6549821	0.000277353	0.147532517	0.717846213	87	1	pre_treatment	NA	0	6.03	22.5	2.55	0.07	0.16
B_61	sample	11/6/21	11	61	combined	Stratford	-87.96229318	42.08061185	6/11/21	B	1	427	3.7360638	0.001095731	0.156868445	0.524721036	0	0	pre_treatment	NA	0	7.12	16.6	0.584	2.3	0.02
B_64	sample	12/1/21	7.8	64	combined	Stratford	-87.96222278	42.07996232	6/11/21	B	1	800	5.3967538	0.005209892	0.261198627	0.42231805	0	0	pre_treatment	NA	0	6.4	17.6	1.44	0.42	0.37
B_65	sample	11/6/21	16	65	combined	Stratford	-87.9623084	42.0791431	6/11/21	B	1	173	2.6059341	0.416738568	0.0145997	0.724490259	0	0	pre_treatment	NA	0	6.81	20.3	0.812	0.95	0.03
B_66	sample	11/6/21	6.5	66	combined	Stratford	-87.96220848	42.07914033	6/11/21	B	1	615	5.0080712	0.002496374	0.156741604	0.274210644	110	1	pre_treatment	NA	0	6.5	19	0.706	0.53	0.03
B_69	sample	11/6/21	11	69	combined	Stratford	-87.96231615	42.0790679	6/11/21	B	1	345	3.1369971	0.001243875	0.034150019	0.81355698	0	0	pre_treatment	NA	0	6.19	18.3	1.3	0.17	0.06
B_70	sample	11/6/21	4.89	70	combined	Gibbons	-87.96128735	42.07727365	6/11/21	B	1	525	4.572016	0.0046372	0.08891221	0.626168452	1	1	pre_treatment	NA	0	7.43	18.4	0.633	0.35	0.02
B_71	sample	11/6/21	9.5	71	combined	Gibbons	-87.96118708	42.07722598	6/11/21	B	1	185	1.8461482	0.051736424	0.011038359	0.196982938	7	1	pre_treatment	NA	0	7.37	15.9	0.301	0.13	0.01
B_73	sample	11/6/21	8.5	73	combined	Stratford	-87.96217608	42.07733793	6/11/21	B	1	669	5.2897339	0.000673634	0.200761024	0.321213997	57	1	pre_treatment	NA	0	NA	NA	NA	NA	NA
B_74	sample	12/1/21	11	74	combined	Stratford	-87.96222302	42.07735468	6/11/21	B	1	163	2.0861352	0.046453936	0.019305792	0.541702511	0	0	pre_treatment	NA	0	6.79	20.8	0.926	0.86	0.04
B_75	sample	11/6/21	8.4	75	combined	Stratford	-87.96229127	42.07726987	6/11/21	B	1	792	5.7968279	0.001363327	0.15473756	0.305222839	1	1	pre_treatment	NA	0	6.93	19.2	0.97	0.56	0.04
B_77	sample	11/6/21	9.7	77	combined	Stratford	-87.96231955	42.07737213	6/11/21	B	1	313	3.3125738	0.025095362	0.043250065	0.266240285	2	1	pre_treatment	NA	0	6.72	21.5	0.904	0.43	1.04
B_78	sample	11/6/21	5.6	78	combined	Gibbons	-87.96109237	42.07638237	6/11/21	B	1	884	5.4838546	0.001865352	0.087993139	0.448284734	0	0	pre_treatment	NA	0	7.2	20.6	0.36	0.14	0.01
B_79	sample	11/6/21	15	79	combined	Gibbons	-87.96120367	42.07570793	6/11/21	B	1	236	2.8473447	0.008766332	0.036845464	0.511940349	1	1	pre_treatment	NA	0	6.58	21.1	0.598	0.33	0.02
B_81	sample	11/6/21	5.8	81	combined	MayfairCarlyle	-87.96571188	42.07763798	6/11/21	B	1	224	2.4221388	0.003049319	0.066002298	0.742465088	3	1	recently_treated	0	0	6.06	21.2	2.05	0.21	0.09
B_83	sample	11/6/21	12	83	combined	MayfairCarlyle	-87.96585632	42.07762897	6/11/21	B	1	225	1.3096777	0.001212218	0.032372171	0.867192623	23	1	recently_treated	1	0	7.82	21.3	0.557	0.44	0.03
B_84	sample	11/6/21	7.9	84	combined	MayfairCarlyle	-87.96835267	42.07911363	6/11/21	B	1	360	3.4573787	0	0.086504939	0.618317838	0	0	recently_treated	0	0	7.08	20.6	0.766	0.44	0.03
B_85	sample	11/6/21	8.4	85	combined	MayfairCarlyle	-87.96847103	42.07911247	6/11/21	B	1	779	5.2547086	0.001042341	0.181241464	0.279778592	31	1	recently_treated	1	0	6.4	21.7	0.551	0.18	0.02
B_86	sample	11/6/21	7.5	86	combined	MayfairCarlyle	-87.96844195	42.08003452	6/11/21	B	1	453	4.4449856	0.000861772	0.192031483	0.457198667	2	1	recently_treated	1	0	6.77	19.3	0.791	0.52	0.03
B_87	sample	12/1/21	6.1	87	combined	MayfairCarlyle	-87.96832385	42.08001807	6/11/21	B	1	707	5.0538466	0.000373851	0.349550529	0.363756861	0	0	recently_treated	0	0	6.31	19.9	1.1	0.12	0.05
B_88	sample	11/6/21	4.27	88	combined	MayfairCarlyle	-87.96706973	42.079124	6/11/21	B	1	640	5.0740205	0.003302253	0.157472157	0.393766727	0	0	recently_treated	1	0	6.13	18.9	0.597	0.27	0.02
B_89	sample	11/6/21	13	89	combined	MayfairCarlyle	-87.96723588	42.07917337	6/11/21	B	1	427	3.3960648	0.000763903	0.055713995	0.662507639	1	1	recently_treated	1	0	6.97	20.6	0.261	0.07	0.01
B_90	sample	11/6/21	11	90	combined	MayfairCarlyle	-87.96715035	42.07909997	6/11/21	B	1	278	3.6009221	0.00083832	0.315323909	0.084583586	0	0	recently_treated	0	0	6.5	20.2	1.56	0.33	0.12
C_31	sample	11/6/21	0.331	31	separated	MinerEvanstonRammer	-87.957901	42.085423	6/25/21	C	1	108	4.3344239	0.022801303	0.088599349	0.583713355	0	0	recently_treated	0	1.31	7.45	21.2	0.051	0.16	0
C_32	sample	12/1/21	8.4	32	separated	MinerEvanstonRammer	-87.957907	42.085404	6/25/21	C	1	826	5.8818159	0	0.09134767	0.583243993	0	0	recently_treated	0	1.31	7.49	21.2	0.034	0.14	0
C_33	sample	11/6/21	13	33	separated	MinerEvanstonRammer	-87.957481	42.084462	6/25/21	C	1	1117	6.1635702	0.000770053	0.100171123	0.600812834	0	0	recently_treated	0	1.31	7.62	21.4	0.024	0.1	0
C_34	sample	12/1/21	8.5	34	separated	MinerEvanstonRammer	-87.957248	42.084567	6/25/21	C	1	799	5.9198496	0.001026729	0.041582532	0.554262637	0	0	recently_treated	0	1.31	7.75	21.3	0.021	0.06	0
C_40	sample	11/6/21	12	40	separated	DonaldBanta	-87.954972	42.08276	6/25/21	C	1	1467	6.2991801	0.014721443	0.137093435	0.272691724	0	0	recently_treated	0	1.31	7.82	21.4	0.023	0.14	0
C_41	sample	11/6/21	16	41	separated	DonaldBanta	-87.955073	42.081956	6/25/21	C	1	1005	6.0135246	0.001981234	0.206235281	0.225262607	0	0	recently_treated	0	1.31	7.46	21.8	0.02	0.14	0
C_42	sample	11/6/21	7.4	42	separated	DonaldBanta	-87.954946	42.081948	6/25/21	C	1	1082	6.055478	0.007036882	0.129837856	0.301011244	0	0	recently_treated	0	1.31	7.33	21.4	0.02	0.13	0
C_43	sample	11/6/21	0.128	43	separated	MinerEvanstonRammer	-87.95384	42.082057	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	recently_treated	0	1.31	7.52	21.4	0.055	0.11	0
C_44	sample	11/9/21	8.4	44	separated	MinerEvanstonRammer	-87.953765	42.082044	6/25/21	C	1	1188	6.2812758	0.000392555	0.074539325	0.598462107	0	0	recently_treated	0	1.31	7.43	20.8	0.091	0.17	0
C_47	sample	12/1/21	4	47	separated	MinerEvanstonRammer	-87.954378	42.084479	6/25/21	C	1	869	5.526331	0.005729493	0.06812774	0.606793989	0	0	recently_treated	0	1.31	7.8	21.7	0.022	0.05	0
C_49	sample	12/3/21	3.14	49	separated	MinerEvanstonRammer	-87.953833	42.084031	6/25/21	C	1	416	4.9345336	0.001618758	0.016432846	0.756401452	0	0	recently_treated	0	1.31	6.8	21.3	0.06	0.2	0
C_50	sample	12/3/21	8.6	50	separated	MinerEvanstonRammer	-87.953712	42.084027	6/25/21	C	1	1043	6.1116665	0.000549618	0.030870229	0.630687023	0	0	recently_treated	0	1.31	7.06	21.3	0.022	0.2	0
C_51	sample	11/9/21	0.184	51	separated	MinerEvanstonRammer	-87.953743	42.084108	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	recently_treated	0	1.31	7.28	21.4	0.013	0.16	0
C_52	sample	11/9/21	12	52	separated	MinerEvanstonRammer	-87.952483	42.08413	6/25/21	C	1	1021	6.1498122	0	0.09661315	0.510523629	0	0	recently_treated	0	1.31	6.95	21.4	0.029	0.2	0
C_55	sample	12/3/21	3.36	55	separated	MinerEvanstonRammer	-87.952665	42.081681	6/25/21	C	1	662	5.4935799	0	0.008138352	0.57702823	0	0	recently_treated	0	1.31	7.38	21.5	0.011	0.15	0
C_56	sample	12/3/21	14	56	separated	MinerEvanstonRammer	-87.952544	42.081668	6/25/21	C	1	993	6.2964892	0	0.046127067	0.520678206	0	0	recently_treated	0	1.31	7.71	21.2	0.036	0.24	0
C_57	sample	11/9/21	18	57	separated	MinerEvanstonRammer	-87.952664	42.083969	6/25/21	C	1	1041	6.1059886	0.000202475	0.11277872	0.500544152	0	0	recently_treated	0	1.31	6.8	21.3	0.028	0.25	0
C_58	sample	12/1/21	0.179	58	separated	DonaldBanta	-87.957397	42.082795	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	recently_treated	0	1.31	7.54	21.1	0.025	0.14	0
C_59	sample	11/9/21	2.7	59	separated	MinerEvanstonRammer	-87.956346	42.084539	6/25/21	C	1	516	5.2072298	0	0.013259265	0.661098046	0	0	not_treated	NA	1.31	7.74	21.5	0.026	0.18	0
C_60	sample	11/9/21	13	60	separated	MinerEvanstonRammer	-87.954944	42.084451	6/25/21	C	1	698	5.4991316	0	0.037152606	0.60841037	0	0	recently_treated	0	1.31	7.51	21.6	0.02	0.15	0
C_61	sample	11/6/21	9.6	61	combined	Stratford	-87.96229318	42.08061185	6/25/21	C	1	924	5.4922404	0.000410918	0.071452278	0.693518562	0	0	treated	0	1.31	6.2	21.1	0.07	0.86	NA
C_64	sample	12/1/21	4.48	64	combined	Stratford	-87.96222278	42.07996232	6/25/21	C	1	871	5.0421326	0.002383191	0.038830706	0.734460065	0	0	treated	0	1.31	6.8	21.3	0.036	0.28	0
C_65	sample	11/6/21	14	65	combined	Stratford	-87.9623084	42.0791431	6/25/21	C	1	885	4.7631692	0.000753515	0.055248305	0.645108549	0	0	treated	0	1.31	6.8	21.3	0.037	0.39	0
C_66	sample	11/6/21	7	66	combined	Stratford	-87.96220848	42.07914033	6/25/21	C	1	710	4.8794786	0.001771955	0.066478189	0.692675254	0	0	treated	0	1.31	6.77	21.3	0.055	0.2	0
C_69	sample	11/6/21	13	69	combined	Stratford	-87.96231615	42.0790679	6/25/21	C	1	679	5.0444533	0.000866426	0.039759326	0.77188929	0	0	treated	0	1.31	6.6	21.2	0.032	0.26	0
C_70	sample	11/6/21	10	70	combined	Gibbons	-87.96128735	42.07727365	6/25/21	C	1	740	4.9634335	0.001262214	0.152423233	0.390220017	0	0	treated	0	1.31	7	21.3	0.018	0.25	0
C_71	sample	11/6/21	12	71	combined	Gibbons	-87.96118708	42.07722598	6/25/21	C	1	906	5.5528211	0.001024792	0.025521264	0.681802057	0	0	treated	0	1.31	6.35	21.8	0.34	0.24	0
C_73	sample	11/6/21	0.698	73	combined	Stratford	-87.96217608	42.07733793	6/25/21	C	1	184	4.5344249	0.022018349	0.004587156	0.654816514	0	0	treated	0	1.31	6.4	21.5	0.05	0.13	0
C_74	sample	12/1/21	9	74	combined	Stratford	-87.96222302	42.07735468	6/25/21	C	1	912	5.6998519	0.013206662	0.054492142	0.658057706	0	0	treated	0	1.31	6.7	21.3	0.05	0.22	0
C_75	sample	11/6/21	14	75	combined	Stratford	-87.96229127	42.07726987	6/25/21	C	1	824	5.0778667	0.00203471	0.067815679	0.647301017	0	0	treated	0	1.31	6.6	20.8	0.03	0.32	0
C_77	sample	11/6/21	14	77	combined	Stratford	-87.96231955	42.07737213	6/25/21	C	1	947	5.7826808	0.00225398	0.113010742	0.61483311	0	0	treated	0	1.31	7	21.5	0.02	0.1	0
C_78	sample	11/6/21	8	78	combined	Gibbons	-87.96109237	42.07638237	6/25/21	C	1	775	5.479129	0.0017839	0.024479076	0.775154233	0	0	treated	0	1.31	7.07	21.9	0.02	0.23	0
C_79	sample	11/6/21	0.0867	79	combined	Gibbons	-87.96120367	42.07570793	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	treated	0	1.31	7	21.9	0.015	0.13	0
C_81	sample	11/6/21	8.2	81	combined	MayfairCarlyle	-87.96571188	42.07763798	6/25/21	C	1	662	5.2776453	0.001310532	0.042672207	0.725139843	0	0	treated	0	1.31	7.02	21.3	0.013	0.6	0
C_83	sample	11/6/21	8.2	83	combined	MayfairCarlyle	-87.96585632	42.07762897	6/25/21	C	1	591	5.2247109	0.001821433	0.099880779	0.708968075	0	0	treated	0	1.31	7.16	21.5	0.008	0.16	0
C_84	sample	11/6/21	13	84	combined	MayfairCarlyle	-87.96835267	42.07911363	6/25/21	C	1	1082	5.986563	0.000863394	0.117715115	0.468771045	0	0	treated	0	1.31	7.25	21.4	0.01	0.13	0
C_85	sample	11/6/21	10	85	combined	MayfairCarlyle	-87.96847103	42.07911247	6/25/21	C	1	909	5.9745632	0.00096565	0.100600083	0.558111464	0	0	treated	0	1.31	6.8	21.2	0.038	0.14	0
C_86	sample	11/6/21	0.126	86	combined	MayfairCarlyle	-87.96844195	42.08003452	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	treated	0	1.31	7.7	21.1	0.009	0.02	0
C_87	sample	12/1/21	8.3	87	combined	MayfairCarlyle	-87.96832385	42.08001807	6/25/21	C	1	648	5.5682379	0.001364124	0.076520835	0.544382734	0	0	treated	0	1.31	6.98	21.1	0.02	0.19	0
C_88	sample	11/6/21	0.17	88	combined	MayfairCarlyle	-87.96706973	42.079124	6/25/21	C	NA	NA	NA	NA	NA	NA	0	0	treated	0	1.31	6.99	21.1	0.009	0.03	0
C_89	sample	11/6/21	12	89	combined	MayfairCarlyle	-87.96723588	42.07917337	6/25/21	C	1	1279	6.4548264	0.000684335	0.064700759	0.547001369	0	0	treated	0	1.31	6.49	21.1	0.012	0.16	0
C_90	sample	11/6/21	17	90	combined	MayfairCarlyle	-87.96715035	42.07909997	6/25/21	C	1	754	5.4076341	0	0.269932984	0.284922683	0	0	treated	0	1.31	6.69	21	0.012	0.19	0
D_33	sample	12/1/21	6.4	33	separated	MinerEvanstonRammer	-87.957481	42.084462	7/9/21	D	2	295	3.9668418	0.04871587	0.010933391	0.81549655	0	0	treated	1	0	7.66	21.6	0.31	0.22	0.01
D_41	sample	12/1/21	7.3	41	separated	DonaldBanta	-87.955073	42.081956	7/9/21	D	2	328	3.5142447	0.419622046	0.125183777	0.733244881	0	0	treated	0	0	7.9	21.1	0.24	0.18	0
D_43	sample	12/1/21	6.2	43	separated	MinerEvanstonRammer	-87.95384	42.082057	7/9/21	D	1	151	2.6948786	0.001080218	0.013385309	0.882819838	0	0	treated	1	0	7.13	21.5	0.751	0.75	0.03
D_50	sample	12/1/21	19	50	separated	MinerEvanstonRammer	-87.953712	42.084027	7/9/21	D	2	231	3.904658	0.305704909	0.150338664	0.692270093	2	1	treated	0	0	7.08	22	0.18	0.08	0
D_52	sample	12/1/21	5.5	52	separated	MinerEvanstonRammer	-87.952483	42.08413	7/9/21	D	2	188	2.9928523	0.163505195	0.064427175	0.736971115	0	0	treated	0	0	7.22	19.8	0.45	0.3	0.01
D_57	sample	12/1/21	12	57	separated	MinerEvanstonRammer	-87.952664	42.083969	7/9/21	D	2	205	2.087933	0.788173113	0.015505237	0.93325922	0	0	treated	1	0	7.4	19.3	0.355	0.17	0.01
D_60	sample	12/1/21	5.2	60	separated	MinerEvanstonRammer	-87.954944	42.084451	7/9/21	D	2	88	1.0201647	0.761851136	0.002267505	0.988190714	8	1	treated	1	0	6.77	21.7	1.28	0	0.05
D_66	sample	12/1/21	7.9	66	combined	Stratford	-87.96220848	42.07914033	7/9/21	D	2	120	1.0536865	0.871738133	0.003184284	0.94127965	5	1	treated	1	0	6.85	20.6	0.411	0.7	0.02
D_69	sample	12/1/21	6.7	69	combined	Stratford	-87.96231615	42.0790679	7/9/21	D	1	181	1.0001805	0.002412318	0.026619399	0.889746602	0	0	treated	0	0	7	20.3	0.47	0.96	0.01
D_71	sample	12/1/21	5.4	71	combined	Gibbons	-87.96118708	42.07722598	7/9/21	D	1	167	2.5166267	0.165989507	0.010966037	0.94347363	0	0	treated	0	0	7.72	17.8	0.179	0.26	0
D_78	sample	12/1/21	9.3	78	combined	Gibbons	-87.96109237	42.07638237	7/9/21	D	2	430	3.1996923	0.124691076	0.028992129	0.347843243	3	1	treated	1	0	7.75	22.2	0.177	0.27	0
D_83	sample	12/1/21	6.2	83	combined	MayfairCarlyle	-87.96585632	42.07762897	7/9/21	D	2	158	1.7399213	0.009794766	0.011911432	0.3680508	6	1	treated	0	0	7.66	21.8	0.361	0.46	0.01
D_88	sample	12/1/21	12	88	combined	MayfairCarlyle	-87.96706973	42.079124	7/9/21	D	1	371	3.6695872	0.02383364	0.01539988	0.79982223	1	1	treated	0	0	7.77	20	0.23	0.25	0.02
E_41	sample	12/1/21	8.6	41	separated	DonaldBanta	-87.955073	42.081956	7/23/21	E	2	804	4.6415154	0.363705319	0.13615246	0.456275086	0	0	treated	0	0.001	7.72	21.5	0.203	0.1	0
E_43	sample	12/1/21	8.7	43	separated	MinerEvanstonRammer	-87.95384	42.082057	7/23/21	E	1	227	2.4449457	0.003945183	0.020200522	0.918871618	0	0	treated	0	0.001	7.39	22.1	0.593	0.25	0.02
E_50	sample	12/1/21	6.5	50	separated	MinerEvanstonRammer	-87.953712	42.084027	7/23/21	E	2	360	2.6057337	0.544366724	0.005015178	0.935374599	1	1	treated	1	0.001	6.87	22	0.115	0.12	0
E_52	sample	12/1/21	6.7	52	separated	MinerEvanstonRammer	-87.952483	42.08413	7/23/21	E	2	382	3.5544315	0.33213621	0.018533568	0.897711485	2	1	treated	1	0.001	7	21.1	0.301	0.15	0.01
E_60	sample	12/1/21	8.3	60	separated	MinerEvanstonRammer	-87.954944	42.084451	7/23/21	E	2	150	1.947348	0.586355651	0.008783438	0.780414045	2	1	treated	1	0.001	6.49	22.4	0.705	0.39	0.02
E_66	sample	12/1/21	12	66	combined	Stratford	-87.96220848	42.07914033	7/23/21	E	2	297	2.3526792	0.370203122	0.031912036	0.759039785	2	1	treated	0	0.001	6.25	21.5	0.225	0.17	0
E_69	sample	12/1/21	5.9	69	combined	Stratford	-87.96231615	42.0790679	7/23/21	E	2	64	1.1731455	0.801505732	0.004404736	0.963949892	0	0	treated	1	0.001	6.33	20.9	0.357	0.55	0.01
E_71	sample	12/1/21	17	71	combined	Gibbons	-87.96118708	42.07722598	7/23/21	E	2	228	1.9176651	0.125548795	0.020154561	0.918893938	24	1	treated	1	0.001	7.22	18.5	0.149	0.2	0
E_78	sample	12/1/21	6	78	combined	Gibbons	-87.96109237	42.07638237	7/23/21	E	2	353	3.7200338	0.33162615	0.11608074	0.797664017	0	0	treated	0	0.001	7.11	22.9	0.138	0.17	0
E_83	sample	12/1/21	7.5	83	combined	MayfairCarlyle	-87.96585632	42.07762897	7/23/21	E	2	199	2.0277119	0.716421989	0.004620314	0.961224135	0	0	treated	0	0.001	7	23	0.188	0.19	0
E_88	sample	12/1/21	10	88	combined	MayfairCarlyle	-87.96706973	42.079124	7/23/21	E	2	111	1.0398425	0.913506041	0.007423213	0.975596562	1	1	treated	0	0.001	6.96	21	0.208	0.15	0
Extr_1	control	11/6/21	1.19	control	NA	NA	NA	NA	control	Extr	NA	NA	NA	NA	NA	NA	NA	NA	treated	NA	NA	NA	NA	NA	NA	NA
Extr_2	control	12/1/21	0.58	control	NA	NA	NA	NA	control	Extr	NA	NA	NA	NA	NA	NA	NA	NA	treated	NA	NA	NA	NA	NA	NA	NA
Extr_3	control	12/1/21	0.221	control	NA	NA	NA	NA	control	Extr	NA	NA	NA	NA	NA	NA	NA	NA	treated	NA	NA	NA	NA	NA	NA	NA
F_31	sample	11/9/21	14	31	separated	MinerEvanstonRammer	-87.957901	42.085423	8/6/21	F	2	138	2.9492575	0.158041083	0.006777658	0.477668486	0	0	treated	0	0.19	8.12	21.5	0.342	0.59	0.01
